['109', 'CS003', '3874', 'C111', '004']
['109', 'M106', '4389', 'K483', '003']
['109', 'M101', '9483', 'B708', '007']
['109', 'M002', 'D602', '8998', '011']
['109', 'M001', '1564', 'C734', '014']
['109', 'M105', '9936', 'F044', '007']
['109', 'M101', '9318', 'L936', '015']
['109', 'M002', '2663', 'F059', '010']
['109', 'M009', '4389', 'U222', '030']
['109', 'M106', '2798', 'H960', '011']
['109', 'CS004', '2163', 'I206', '007']
['109', 'M106', '9318', 'A959', '005']
['109', 'M011', '2339', 'J885', '004']
['109', 'CS007', 'K852', '2353', '030']
['110', 'CS110', '9483', 'G023', '004']
['110', 'M001', '7368', 'D790', '015']
['110', 'M002', '9936', 'F044', '007']
['110', 'M104', '8665', 'H738', '004']
['110', 'M101', '8292', 'M000', '007']
['110', 'CS008', '1564', 'U239', '016']
['110', 'M007', '5932', 'C912', '015']
['110', 'M009', '2798', 'H960', '011']
['110', 'CS009', '3654', 'O408', '014']
['110', 'M011', 'D602', '8998', '011']
['111', 'M105', '1564', 'C734', '014']
['111', 'M010', ' 9349', 'H110', '007']
['111', 'M001', '7476', 'H899', '013']
['111', 'CS004', 'C912', '5932', '015']
['111', 'M001', '2663', 'F059', '010']
['111', 'M006', 'D106', '2938', '015']
['111', 'CS005', '2798', 'H960', '011']
['111', 'M106', '2353', 'K852', '030']
['112', 'M007', ['7368', '8394'], 'A123', '002']
['112', 'M002', '2938', 'D106', '015']
['112', 'M101', '7126', 'F177', '012']
['112', 'CS005', '7476', 'H899', '013']
['112', 'M012', '2377', 'R563', '002']
['112', 'M002', 'F911', '3964', '012']
['112', 'M101', 'D651', '7577', '021']
['112', 'M001', '9483', 'B708', '007']
['112', 'CS002', '4389', 'F183', '015']
['113', 'CS010', '2938', 'J736', '002']
['113', 'CS006', '9318', 'A959', '005']
['113', 'CS002', '2938', 'D106', '015']
['113', 'M104', 'A959', '9318', '005']
['113', 'M002', '7800', 'E058', '025']
['113', 'M104', '2377', 'R563', '002']
['113', 'CS007', '8292', 'E229', '013']
['113', 'M106', '3492', 'I291', '015']
['113', 'M006', '3040', 'K639', '012']
['113', 'M107', '5932', 'C912', '015']
['113', 'CS009', '3314', 'Z716', '013']
['113', 'M107', '5932', 'C912', '015']
['113', 'CS009', '3314', 'Z716', '013']
['113', 'CS001', '2295', 'I021', '012']
['113', 'M009', ['1427', '9349', '6257'], 'L233', '020']
['113', 'M006', '3654', 'O408', '014']
['113', 'CS110', 'F059', '2663', '010']
['113', 'M103', '3040', 'K639', '012']
['114', 'M102', 'H960', '2798', '011']
['114', 'M105', ['3314', '2163', '2368'], 'G117', '002']
['114', 'CS007', '8231', 'G253', '003']
['114', 'M002', '7476', 'H899', '013']
['114', 'CS003', '0782', 'M169', '012']
